metric,horizon_hour,quantile,history_a,history_b,n_pairs,n_nonzero_diffs,statistic,p_value,note
success_indicator,1,95,3,21,445,99,2000.0,0.05618836258813862,ok
success_indicator,1,97,3,21,445,74,1237.5,0.3523808651090834,ok
success_indicator,1,98,3,21,445,62,913.5,0.6114529869535043,ok
success_indicator,2,95,3,21,445,175,2112.0,7.971391714749536e-22,ok
success_indicator,2,97,3,21,445,163,1640.0,5.73907372227505e-22,ok
success_indicator,2,98,3,21,445,156,1177.5,6.2381637974581205e-24,ok
success_indicator,3,95,3,21,445,68,1173.0,1.0,ok
success_indicator,3,97,3,21,445,60,884.5,0.7962534147376392,ok
success_indicator,3,98,3,21,445,46,517.0,0.7680825619009432,ok
interval_ratio,1,95,3,21,445,445,33637.0,3.92764051027029e-09,ok
interval_ratio,1,97,3,21,445,445,36903.0,2.8130432898386234e-06,ok
interval_ratio,1,98,3,21,445,445,38452.0,3.899289275885377e-05,ok
interval_ratio,2,95,3,21,445,445,20329.0,3.843066546229458e-27,ok
interval_ratio,2,97,3,21,445,445,21512.0,4.0110987257942085e-25,ok
interval_ratio,2,98,3,21,445,445,20750.0,2.0531280156738482e-26,ok
interval_ratio,3,95,3,21,445,445,48302.0,0.6279389149275604,ok
interval_ratio,3,97,3,21,445,445,48739.0,0.7462112173737032,ok
interval_ratio,3,98,3,21,445,445,48234.0,0.6102749223583949,ok
iscore_point,1,95,3,21,445,433,34500.0,1.667471186906981e-06,ok
iscore_point,1,97,3,21,445,441,36184.0,2.7984441992656373e-06,ok
iscore_point,1,98,3,21,445,441,35570.0,8.90716012702773e-07,ok
iscore_point,2,95,3,21,445,425,44684.0,0.8193970753571918,ok
iscore_point,2,97,3,21,445,432,46541.0,0.9315579475509124,ok
iscore_point,2,98,3,21,445,436,46241.0,0.5969760228564516,ok
iscore_point,3,95,3,21,445,442,47445.0,0.5750376576883011,ok
iscore_point,3,97,3,21,445,444,47517.0,0.4875625774092436,ok
iscore_point,3,98,3,21,445,444,48675.0,0.7901287500609533,ok
