metric,horizon_hour,quantile,history_a,history_b,n_pairs,n_nonzero_diffs,statistic,p_value,note
success_indicator,1,95,3,21,0,0,,,insufficient_pairs
success_indicator,1,97,3,21,0,0,,,insufficient_pairs
success_indicator,1,98,3,21,0,0,,,insufficient_pairs
success_indicator,2,95,3,21,0,0,,,insufficient_pairs
success_indicator,2,97,3,21,0,0,,,insufficient_pairs
success_indicator,2,98,3,21,0,0,,,insufficient_pairs
success_indicator,3,95,3,21,0,0,,,insufficient_pairs
success_indicator,3,97,3,21,0,0,,,insufficient_pairs
success_indicator,3,98,3,21,0,0,,,insufficient_pairs
interval_ratio,1,95,3,21,0,0,,,insufficient_pairs
interval_ratio,1,97,3,21,0,0,,,insufficient_pairs
interval_ratio,1,98,3,21,0,0,,,insufficient_pairs
interval_ratio,2,95,3,21,0,0,,,insufficient_pairs
interval_ratio,2,97,3,21,0,0,,,insufficient_pairs
interval_ratio,2,98,3,21,0,0,,,insufficient_pairs
interval_ratio,3,95,3,21,0,0,,,insufficient_pairs
interval_ratio,3,97,3,21,0,0,,,insufficient_pairs
interval_ratio,3,98,3,21,0,0,,,insufficient_pairs
iscore_point,1,95,3,21,0,0,,,insufficient_pairs
iscore_point,1,97,3,21,0,0,,,insufficient_pairs
iscore_point,1,98,3,21,0,0,,,insufficient_pairs
iscore_point,2,95,3,21,0,0,,,insufficient_pairs
iscore_point,2,97,3,21,0,0,,,insufficient_pairs
iscore_point,2,98,3,21,0,0,,,insufficient_pairs
iscore_point,3,95,3,21,0,0,,,insufficient_pairs
iscore_point,3,97,3,21,0,0,,,insufficient_pairs
iscore_point,3,98,3,21,0,0,,,insufficient_pairs
